Index,Date,Close
SP500,2020-06-26,-0.024525204
SP500,2020-06-29,0.014578888
SP500,2020-06-30,0.015292349
SP500,2020-07-01,0.005009564
SP500,2020-07-02,0.00453097
SP500,2020-07-06,0.015756931
SP500,2020-07-07,-0.010877478
SP500,2020-07-08,0.007796986
SP500,2020-07-09,-0.005659591
SP500,2020-07-10,0.01041181
SP500,2020-07-13,-0.009406645
SP500,2020-07-14,0.013317301
SP500,2020-07-15,0.009041057
SP500,2020-07-16,-0.003411915
SP500,2020-07-17,0.002844563
SP500,2020-07-20,0.008371797
SP500,2020-07-21,0.001677629
SP500,2020-07-22,0.005730631
SP500,2020-07-23,-0.012396378
SP500,2020-07-24,-0.00620964
SP500,2020-07-27,0.007367929
SP500,2020-07-28,-0.006494435
SP500,2020-07-29,0.012351783
SP500,2020-07-30,-0.003757302
SP500,2020-07-31,0.007641236
SP500,2020-08-03,0.007155363
SP500,2020-08-04,0.003605423
SP500,2020-08-05,0.00640916
SP500,2020-08-06,0.006407126
SP500,2020-08-07,0.000632829
SP500,2020-08-10,0.002738465
SP500,2020-08-11,-0.008001055
SP500,2020-08-12,0.013899502
SP500,2020-08-13,-0.002049273
SP500,2020-08-14,-0.000171897
SP500,2020-08-17,0.002706178
SP500,2020-08-18,0.00230074
SP500,2020-08-19,-0.004414123
SP500,2020-08-20,0.003153655
SP500,2020-08-21,0.0034352
SP500,2020-08-24,0.009993615
SP500,2020-08-25,0.0035899
SP500,2020-08-26,0.010144001
SP500,2020-08-27,0.001671646
SP500,2020-08-28,0.006710003
SP500,2020-08-31,-0.002197375
SP500,2020-09-01,0.007496831
SP500,2020-09-02,0.01524905
SP500,2020-09-03,-0.035757594
SP500,2020-09-04,-0.008166281
SP500,2020-09-08,-0.028148829
SP500,2020-09-09,0.019944761
SP500,2020-09-10,-0.017741246
SP500,2020-09-11,0.00053293
SP500,2020-09-14,0.012661335
SP500,2020-09-15,0.005205786
SP500,2020-09-16,-0.004629647
SP500,2020-09-17,-0.00844795
SP500,2020-09-18,-0.011245577
SP500,2020-09-21,-0.011638564
SP500,2020-09-22,0.010463016
SP500,2020-09-23,-0.024007339
SP500,2020-09-24,0.002983006
SP500,2020-09-25,0.015850439
SP500,2020-09-28,0.015982192
SP500,2020-09-29,-0.004824283
SP500,2020-09-30,0.008219843
SP500,2020-10-01,0.00527895
SP500,2020-10-02,-0.009623813
SP500,2020-10-05,0.017813109
SP500,2020-10-06,-0.014072064
SP500,2020-10-07,0.017247164
SP500,2020-10-08,0.007978213
SP500,2020-10-09,0.008755095
SP500,2020-10-12,0.01628253
SP500,2020-10-13,-0.006326892
SP500,2020-10-14,-0.006645172
SP500,2020-10-15,-0.001528924
SP500,2020-10-16,0.00013491
SP500,2020-10-19,-0.016464664
SP500,2020-10-20,0.004716195
SP500,2020-10-21,-0.002198114
SP500,2020-10-22,0.005205354
SP500,2020-10-23,0.003439838
SP500,2020-10-26,-0.018764473
SP500,2020-10-27,-0.003030205
SP500,2020-10-28,-0.035925542
SP500,2020-10-29,0.011876525
SP500,2020-10-30,-0.012203713
SP500,2020-11-02,0.012242951
SP500,2020-11-03,0.017642738
SP500,2020-11-04,0.021807526
SP500,2020-11-05,0.019273266
SP500,2020-11-06,-0.000287757
